x,y,z,color
0,0,0,1
-0.044884004,1.303991537,-5.951033495,1
0.019361002,0.414963647,-6.963332846,1
-0.039689433,1.907518088,-1.315102992,1
-0.074243847,1.290789574,-9.850610965,1
-0.099114491,2.39100434,-0.301447228,1
-0.156842962,0.949953412,-8.812308519,1
-0.268787889,1.391912455,-12.49842184,1
-0.258145617,0.507512669,-22.45929658,1
-0.315120928,2.199257639,-13.90655823,1
-0.342275693,0.694452088,-23.60655262,1
-0.317763129,0.312875397,-33.50331678,1
-0.351385011,0.654777454,-43.32684277,1
-0.336336198,0.385946759,-53.28725343,1
-0.270182006,-6.771052624,-43.405772,1
-0.668781909,3.381574039,-45.57187206,1
-1.048263371,3.417599091,-47.57923179,1
-1.501198304,3.468726124,-49.39643849,1
-1.867744506,3.400072259,-51.52674235,1
-2.181469419,3.356813065,-53.88494847,1
-2.38697394,3.324450125,-56.50010254,1
-2.689521309,3.388748182,-58.76491567,1
-2.85047273,3.420410525,-60.70041035,1
-3.014402905,3.462689189,-62.19748946,1
-3.281751645,3.536863732,-63.21673402,1
-3.480254728,3.576455659,-63.88992161,1
-3.768047396,3.634907382,-64.20926257,1
-4.061220156,3.68533319,-64.22846118,1
-4.389160025,3.740447778,-63.95447877,1
-4.629991996,3.704322956,-63.94226147,1
-4.849801091,3.667820591,-64.21973321,1
-5.095671165,3.65059593,-64.6193072,1
-5.321887945,3.60363315,-65.37953655,1
-5.598086892,3.572278844,-66.33625677,1
-5.887110466,3.619207672,-67.01118572,1
-6.024871153,3.640164922,-67.42122311,1
-6.319740445,3.678799163,-67.60272738,1
-6.633842826,3.701100802,-67.66032293,1
-6.759428955,3.680492497,-68.00408505,1
-7.058981622,3.630967492,-68.63547398,1
-7.354024323,3.560658493,-69.67902283,1
-7.468554874,3.559045845,-70.74686974,1
-7.710495809,3.607076085,-71.47054822,1
-8.043373908,3.649737992,-71.97124827,1
-8.251051019,3.703942276,-72.01662667,1
-8.415022756,3.737901369,-71.70077462,1
-8.718435473,3.750350634,-71.31340847,1
-8.924339643,3.724814782,-71.14237454,1
-9.074265701,3.750630723,-70.67131003,1
-9.371723983,3.806432831,-69.87454002,1
-9.811946357,3.791424387,-69.13693622,1
-10.06426983,3.793954845,-68.38192781,1
-10.22483292,3.722664699,-68.40112642,1
-10.36767387,3.956608777,-65.70184348,1
-10.33234863,2.862509574,-74.76934202,1
-10.27486019,3.240259565,-84.56298347,1
-10.00481838,2.339812274,-93.50608826,1
-9.587205335,2.130558941,-102.251439,1
-9.034034113,1.857132986,-110.7687084,1
-8.376701362,1.536765152,-119.0247705,1
-7.486536123,1.244992762,-127.0850865,1
-6.411754688,0.809603044,-134.8751841,1
-5.153830037,0.552083819,-142.5187742,1
-3.760984473,0.357037278,-150.0578491,1
-2.426002379,0.387609172,-157.6140979,1
-1.09570819,0.261253228,-165.0978698,1
0.317524428,-0.172640585,-172.3311577,1
1.823354513,-0.712458277,-179.2450274,1
3.361824621,-0.809667683,-186.1006701,1
4.898933611,-0.705366354,-193.0183217,1
6.570518628,-0.250864734,-200.1715912,1
8.351398031,0.29180037,-207.570251,1
9.983333567,0.88130209,-215.235181,1
11.74646161,0.593917641,-222.7788407,1
13.80227322,-0.05488776,-230.0697216,1
16.09553966,-0.673254635,-237.1284373,1
18.3942671,-0.24829911,-244.3436231,1
20.67717613,0.461379792,-251.8041969,1
23.179755,-0.097130304,-259.084318,1
25.82218883,-1.061191453,-266.0434459,1
28.39050331,-0.227875724,-273.2779389,1
31.05555463,0.209577855,-280.6448138,1
33.70468163,1.325818046,-288.3220601,1
36.50733718,1.109381756,-295.9430962,1
39.28361184,2.31245658,-303.8553315,1
42.06957751,2.235304633,-311.7493877,1
45.01075374,2.106720318,-319.6144283,1
48.25406663,0.928147461,-327.2184879,1
51.33060947,2.240918572,-335.1114726,1
54.75955177,0.892645216,-342.723461,1
58.26329907,0.941359338,-350.345627,1
61.89744276,0.412757955,-357.8582684,1
66.50421083,0.412757955,-367.4068355,1
66.97165004,0.412757955,-368.3759662,1
69.1457859,0.412757955,-372.883551,1
72.76934565,0.412757955,-380.3961924,1
76.39290541,0.412757955,-387.9088337,1
77.84232931,0.412757955,-390.9138902,1
80.05565567,0.351410774,-395.4138641,1
83.85247643,0.250733255,-402.893467,1
87.75610381,0.152253579,-410.3535759,1
91.76541222,0.056224311,-417.7950593,1
95.87900804,-0.037100979,-425.2187948,1
100.0957662,-0.128732015,-432.6254337,1
104.4143999,-0.218478715,-440.0156336,1
108.833644,-0.306155634,-447.3900575,1
113.3519879,-0.391576659,-454.7493742,1
117.9681205,-0.475921025,-462.0940209,1
